237	278	τὸν
238	279	ἄνδρα
239	280	Μαρίας
240	282	ἐξ
241	283	ἧς
242	284	ἐγεννήθη
243	285	Ἰησοῦς
244	286	ὁ
245	287	λεγόμενος
246	288	Χριστός
247	290	Πᾶσαι
248	291	οὖν
249	292	αἱ
250	293	γενεαὶ
251	294	ἀπὸ
252	295	Ἀβραὰμ
253	296	ἕως
254	297	Δαυὶδ
255	298	γενεαὶ
256	299	δεκατέσσαρες
257	301	καὶ
258	302	ἀπὸ
259	303	Δαυὶδ
260	304	ἕως
261	305	τῆς
262	306	μετοικεσίας
263	307	Βαβυλῶνος
264	308	γενεαὶ
265	309	δεκατέσσαρες
266	311	καὶ
267	312	ἀπὸ
268	313	τῆς
269	314	μετοικεσίας
270	315	Βαβυλῶνος
271	316	ἕως
272	317	τοῦ
273	318	Χριστοῦ
274	319	γενεαὶ
275	320	δεκατέσσαρες
276	322	Τοῦ
277	323	δὲ
278	324	Ἰησοῦ
279	325	Χριστοῦ
280	326	ἡ
281	327	γένεσις
282	328	οὕτως
283	329	ἦν
284	331	μνηστευθείσης
285	332	τῆς
286	333	μητρὸς
287	334	αὐτοῦ
288	335	Μαρίας
289	336	τῷ
290	337	Ἰωσήφ
291	339	πρὶν
292	340	ἢ
293	341	συνελθεῖν
294	342	αὐτοὺς
295	343	εὑρέθη
296	344	ἐν
297	345	γαστρὶ
298	346	ἔχουσα
299	347	ἐκ
300	348	πνεύματος
301	349	ἁγίου
302	351	Ἰωσὴφ
303	352	δὲ
304	353	ὁ
305	354	ἀνὴρ
306	355	αὐτῆς
307	357	δίκαιος
308	358	ὢν
309	359	καὶ
310	360	μὴ
311	361	θέλων
312	362	αὐτὴν
313	363	δειγματίσαι
314	365	ἐβουλήθη
315	366	λάθρᾳ
316	367	ἀπολῦσαι
317	368	αὐτήν
318	370	ταῦτα
319	371	δὲ
320	372	αὐτοῦ
321	373	ἐνθυμηθέντος
322	374	ἰδοὺ
323	375	ἄγγελος
324	376	κυρίου
325	377	κατ᾽
326	378	ὄναρ
327	379	ἐφάνη
328	380	αὐτῷ
329	381	λέγων
330	383	Ἰωσὴφ
331	384	υἱὸς
332	385	Δαυίδ
333	387	μὴ
