47	11	25	OGNT = ἐραβδίσθην,		NA = ἐρραβδίσθην
48	2	14	OGNT = οὐκ		NA = οὐχὶ
49	1	20	OGNT = ἐνήργηκεν		NA = ἐνήργησεν
50	2	4	OGNT = ἕκαστοι		NA = ἕκαστος
50	3	17	OGNT = οὕτω*		NA = οὕτως
51	1	7	OGNT = ἡμῶν*		NA = ὑμῶν
51	3	22	OGNT = ὀφθαλμοδουλίαις,		NA = ὀφθαλμοδουλίᾳ
52	2	7	OGNT = ἤπιοι		NA = νήπιοι
52	5	10	OGNT = περὶ		NA = ὑπὲρ
56	2	3	OGNT = μηδὲ		NA = μὴ
58	3	6	OGNT = ἐὰν		NA = ἐάνπερ
58	6	2	OGNT = διδαχὴν,		NA = διδαχῆς
58	9	19	OGNT = ἐράντισεν,		NA = ἐρράντισεν
58	9	21	OGNT = ἐράντισεν.		NA = ἐρράντισεν
58	11	13	OGNT = κομισάμενοι		NA = λαβόντες
58	12	21	OGNT = οὕτω		NA = οὕτως
59	1	20	OGNT = οὐκ		NA = οὐ
59	1	20	OGNT = ἐργάζεται.		NA = κατεργάζεται
59	5	4	OGNT = ἀφυστερημένος		NA = ἀπεστερημένος
59	5	10	OGNT = κακοπαθίας		NA = κακοπαθείας
60	1	6	OGNT = λυπηθέντες		NA = λυπηθέντας
60	4	16	OGNT = ὀνόματι		NA = μέρει
61	2	6	OGNT = ‹ἀσεβέσιν›		NA = ἀσεβεῖν
61	2	18	OGNT = ὀλίγως		NA = ὄντως
61	3	6	OGNT = ὧν		NA = ὃν
61	3	16	OGNT = στρεβλοῦσιν		NA = στρεβλώσουσιν
62	3	7	OGNT = Τεκνία,		NA = Παιδία
62	5	18	OGNT = αὐτόν,		NA = ἑαυτὸν
65	1	15	OGNT = πάντας		NA = πᾶσαν
65	1	15	OGNT = ἀσεβεῖς		NA = ψυχὴν
65	1	16	OGNT = αὐτῶν		NA = ἑαυτῶν
66	2	25	OGNT = ἄχρι		NA = ἄχρις
66	10	1	OGNT = τὴν		NA = τῆς
66	10	1	OGNT = κεφαλὴν		NA = κεφαλῆς
66	16	18	OGNT = οὕτω		NA = οὕτως
66	17	5	OGNT = Ο*		NA = ἡ
66	17	5	OGNT = Ο*		NA = ἡ
66	19	7	OGNT = δώσομεν		NA = δώσωμεν
