40	2	16	OGNT = πᾶσι		NA = πᾶσιν
40	8	4	OGNT = ἀλλὰ		NA = ἀλλ᾽
40	9	13	OGNT = ἀλλὰ		NA = ἀλλ᾽
40	9	18	OGNT = ἀλλὰ		NA = ἀλλ᾽
40	16	12	OGNT = ἀλλὰ		NA = ἀλλ᾽
40	17	12	OGNT = ἀλλὰ*		NA = ἀλλ᾽
40	18	10	OGNT = βλέπουσι		NA = βλέπουσιν
40	18	22	OGNT = ἀλλὰ		NA = ἀλλ᾽
40	18	30	OGNT = ἀλλὰ		NA = ἀλλ᾽
40	19	28	OGNT = παλινγενεσίᾳ,		NA = παλιγγενεσίᾳ,
40	20	12	OGNT = βαστάσασι		NA = βαστάσασιν
40	23	20	OGNT = πᾶσι		NA = πᾶσιν
41	1	27	OGNT = πνεύμασι		NA = πνεύμασιν
41	1	44	OGNT = ἀλλὰ		NA = ἀλλ᾽
41	2	4	OGNT = χαλῶσι		NA = χαλῶσιν
41	2	17	OGNT = ἀλλὰ		NA = ἀλλ᾽
41	2	22	OGNT = ἀλλὰ		NA = ἀλλ᾽
41	3	29	OGNT = ἀλλὰ		NA = ἀλλ᾽
41	6	9	OGNT = ἀλλὰ		NA = ἀλλ᾽
41	11	32	OGNT = ἀλλὰ		NA = ἀλλ᾽
41	13	24	OGNT = Ἀλλὰ		NA = Ἀλλ᾽
41	14	54	OGNT = συνκαθήμενος		NA = συγκαθήμενος
41	15	16	OGNT = συνκαλοῦσιν		NA = συγκαλοῦσιν
41	16	7	OGNT = ἀλλὰ		NA = ἀλλ᾽
41	16	10	OGNT = πενθοῦσι		NA = πενθοῦσιν
42	1	3	OGNT = ἔδοξε		NA = ἔδοξεν
42	1	9	OGNT = ἔλαχε		NA = ἔλαχεν
42	5	14	OGNT = “Ἀλλὰ		NA = Ἀλλ᾽
42	5	31	OGNT = ἀλλὰ		NA = ἀλλ᾽
42	5	32	OGNT = ἀλλὰ		NA = ἀλλ᾽
42	5	38	OGNT = ἀλλὰ		NA = ἀλλ᾽
42	6	27	OGNT = Ἀλλὰ		NA = Ἀλλ᾽
42	7	7	OGNT = ἀλλὰ		NA = ἀλλ᾽
42	9	1	OGNT = Συνκαλεσάμενος		NA = Συγκαλεσάμενος
42	10	20	OGNT = ἐνγέγραπται		NA = ἐγγέγραπται
42	11	42	OGNT = Ἀλλὰ		NA = Ἀλλ᾽
42	13	11	OGNT = συνκύπτουσα		NA = συγκύπτουσα
42	16	13	OGNT = δυσὶ		NA = δυσὶν
42	16	26	OGNT = πᾶσι		NA = πᾶσιν
42	16	29	OGNT = ‘Ἔχουσι		NA = ‘Ἔχουσιν
42	18	1	OGNT = ἐνκακεῖν,		NA = ἐγκακεῖν,
42	20	20	OGNT = ἐνκαθέτους		NA = ἐγκαθέτους
42	22	55	OGNT = συνκαθισάντων		NA = συγκαθισάντων
42	23	13	OGNT = συνκαλεσάμενος		NA = συγκαλεσάμενος
42	23	51	OGNT = συνκατατεθειμένος		NA = συγκατατεθειμένος
42	24	6	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	4	9	OGNT = συνχρῶνται		NA = συγχρῶνται
43	4	23	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	5	23	OGNT = τιμῶσι		NA = τιμῶσιν
43	5	23	OGNT = τιμῶσι		NA = τιμῶσιν
43	5	42	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	6	39	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	7	10	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	7	49	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	8	7	OGNT = αὐτῇ		NA = αὐτῇν
43	8	55	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	9	9	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	10	1	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	10	14	OGNT = γινώσκουσί		NA = γινώσκουσίν
43	10	22	OGNT = ἐνκαίνια		NA = ἐγκαίνια
43	10	26	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	11	15	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	11	51	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	11	54	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	12	44	OGNT = ἀλλὰ		NA = ἀλλ᾽
43	21	8	OGNT = ἀλλὰ		NA = ἀλλ᾽
44	1	10	OGNT = ἐσθήσεσι		NA = ἐσθήσεσιν
44	1	19	OGNT = πᾶσι		NA = πᾶσιν
44	1	26	OGNT = συνκατεψηφίσθη		NA = συγκατεψηφίσθη
44	2	22	OGNT = δυνάμεσι		NA = δυνάμεσιν
44	2	22	OGNT = τέρασι		NA = τέρασιν
44	2	27	OGNT = ἐνκαταλείψεις		NA = ἐγκαταλείψεις
44	2	31	OGNT = ἐνκατελείφθη		NA = ἐγκατελείφθη
44	7	39	OGNT = ἀλλὰ		NA = ἀλλ᾽
44	9	6	OGNT = ἀλλὰ		NA = ἀλλ᾽
44	10	20	OGNT = ἀλλὰ		NA = ἀλλ᾽
44	10	24	OGNT = συνκαλεσάμενος		NA = συγκαλεσάμενος
44	15	20	OGNT = ἀλλὰ		NA = ἀλλ᾽
44	15	22	OGNT = ἔδοξε		NA = ἔδοξεν
44	15	26	OGNT = παραδεδωκόσι		NA = παραδεδωκόσιν
44	16	37	OGNT = ἀλλὰ		NA = ἀλλ᾽
44	17	7	OGNT = πράσσουσι*,		NA = πράσσουσι*,ν
44	17	25	OGNT = πᾶσι		NA = πᾶσιν
44	18	10	OGNT = ἐστί		NA = ἐστίν
44	18	18	OGNT = Κενχρεαῖς		NA = Κεγχρεαῖς
44	18	21	OGNT = ἀλλὰ		NA = ἀλλ᾽
44	19	6	OGNT = ἦλθε		NA = ἦλθεν
44	19	38	OGNT = ἔχουσι		NA = ἔχουσιν
44	21	5	OGNT = γυναιξὶ		NA = γυναιξὶν
44	21	31	OGNT = συνχύννεται		NA = συγχύννεται
44	21	33	OGNT = ἁλύσεσι		NA = ἁλύσεσιν
44	21	33	OGNT = δυσί,		NA = δυσί,ν
44	23	22	OGNT = ἀπέλυσε		NA = ἀπέλυσεν
44	23	24	OGNT = διασώσωσι		NA = διασώσωσιν
44	24	4	OGNT = ἐνκόπτω,		NA = ἐγκόπτω,
44	24	14	OGNT = πᾶσι		NA = πᾶσιν
44	24	27	OGNT = κατέλιπε		NA = κατέλιπεν
44	25	5	OGNT = συνκαταβάντες		NA = συγκαταβάντες
44	26	4	OGNT = ἴσασι		NA = ἴσασιν
44	26	5	OGNT = θέλωσι		NA = θέλωσιν
44	26	16	OGNT = ἀλλὰ		NA = ἀλλ᾽
44	26	25	OGNT = ἀλλὰ		NA = ἀλλ᾽
44	26	30	OGNT = συνκαθήμενοι		NA = συγκαθήμενοι
44	28	15	OGNT = ἔλαβε		NA = ἔλαβεν
44	28	17	OGNT = συνκαλέσασθαι		NA = συγκαλέσασθαι
44	28	17	OGNT = ἔθεσι		NA = ἔθεσιν
45	1	21	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	2	8	OGNT = ἀπειθοῦσι		NA = ἀπειθοῦσιν
45	4	20	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	5	14	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	6	14	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	6	15	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	7	13	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	7	17	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	7	19	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	7	20	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	8	9	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	8	15	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	8	17	OGNT = συνκληρονόμοι		NA = συγκληρονόμοι
45	8	26	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	8	32	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	11	10	OGNT = σύνκαμψον.”		NA = σύγκαμψον.”
45	11	17	OGNT = συνκοινωνὸς		NA = συγκοινωνὸς
45	11	18	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	11	24	OGNT = ἐνκεντρισθήσονται		NA = ἐγκεντρισθήσονται
45	12	20	OGNT = Ἀλλὰ		NA = Ἀλλ᾽
45	13	14	OGNT = ἀλλὰ		NA = ἀλλ᾽
45	15	23	OGNT = κλίμασι		NA = κλίμασιν
45	16	1	OGNT = Κενχρεαῖς,		NA = Κεγχρεαῖς,
45	16	14	OGNT = Ἀσύνκριτον,		NA = Ἀσύγκριτον,
46	1	17	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	2	13	OGNT = συνκρίνοντες.		NA = συγκρίνοντες.
46	3	6	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	6	6	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	6	8	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	6	11	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	6	11	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	6	11	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	7	4	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	7	4	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	7	6	OGNT = συνγνώμην,		NA = συγγνώμην,
46	7	7	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	7	10	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	9	12	OGNT = ἐνκοπὴν		NA = ἐγκοπὴν
46	9	23	OGNT = συνκοινωνὸς		NA = συγκοινωνὸς
46	9	27	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	11	17	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	12	24	OGNT = Ἀλλὰ		NA = Ἀλλ᾽
46	12	26	OGNT = συνχαίρει		NA = συγχαίρει
46	13	6	OGNT = συνχαίρει		NA = συγχαίρει
46	14	19	OGNT = ἀλλὰ		NA = ἀλλ᾽
46	14	33	OGNT = ἀλλὰ		NA = ἀλλ᾽
