GrkSortIncl	OGNT	N1904
225	Σαλαθιήλ	Σαλαθιήλ,
226	Σαλαθιὴλ	Σαλαθιὴλ
227	δὲ	δὲ
228	ἐγέννησεν	ἐγέννησεν
229	τὸν	τὸν
230	Ζοροβαβέλ	Ζοροβαβέλ,
235	Ζοροβαβὲλ	Ζοροβαβὲλ
236	δὲ	δὲ
237	ἐγέννησεν	ἐγέννησεν
238	τὸν	τὸν
239	Ἀβιούδ	Ἀβιούδ,
240	Ἀβιοὺδ	Ἀβιοὺδ
241	δὲ	δὲ
242	ἐγέννησεν	ἐγέννησεν
243	τὸν	τὸν
244	Ἐλιακίμ	Ἐλιακίμ,
245	Ἐλιακὶμ	Ἐλιακὶμ
246	δὲ	δὲ
247	ἐγέννησεν	ἐγέννησεν
248	τὸν	τὸν
249	Ἀζώρ	Ἀζώρ,
254	Ἀζὼρ	Ἀζὼρ
255	δὲ	δὲ
256	ἐγέννησεν	ἐγέννησεν
257	τὸν	τὸν
258	Σαδώκ	Σαδώκ,
259	Σαδὼκ	Σαδὼκ
260	δὲ	δὲ
261	ἐγέννησεν	ἐγέννησεν
262	τὸν	τὸν
263	Ἀχίμ	Ἀχίμ,
264	Ἀχὶμ	Ἀχὶμ
265	δὲ	δὲ
266	ἐγέννησεν	ἐγέννησεν
267	τὸν	τὸν
268	Ἐλιούδ	Ἐλιούδ,
273	Ἐλιοὺδ	Ἐλιοὺδ
274	δὲ	δὲ
275	ἐγέννησεν	ἐγέννησεν
276	τὸν	τὸν
277	Ἐλεάζαρ	Ἐλεάζαρ,
278	Ἐλεάζαρ	Ἐλεάζαρ
279	δὲ	δὲ
280	ἐγέννησεν	ἐγέννησεν
281	τὸν	τὸν
282	Ματθάν	Ματθάν,
283	Ματθὰν	Ματθὰν
284	δὲ	δὲ
285	ἐγέννησεν	ἐγέννησεν
286	τὸν	τὸν
287	Ἰακώβ	Ἰακώβ,
292	Ἰακὼβ	Ἰακὼβ
293	δὲ	δὲ
294	ἐγέννησεν	ἐγέννησεν
295	τὸν	τὸν
296	Ἰωσὴφ	Ἰωσὴφ
297	τὸν	τὸν
298	ἄνδρα	ἄνδρα
299	Μαρίας	Μαρίας,
300	ἐξ	ἐξ
301	ἧς	ἧς
302	ἐγεννήθη	ἐγεννήθη
303	Ἰησοῦς	Ἰησοῦς
304	ὁ	ὁ
305	λεγόμενος	λεγόμενος
306	Χριστός	Χριστός.
311	Πᾶσαι	Πᾶσαι
312	οὖν	οὖν
313	αἱ	αἱ
314	γενεαὶ	γενεαὶ
315	ἀπὸ	ἀπὸ
316	Ἀβραὰμ	Ἀβραὰμ
317	ἕως	ἕως
318	Δαυὶδ	Δαυὶδ
319	γενεαὶ	γενεαὶ
320	δεκατέσσαρες	δεκατέσσαρες,
321	καὶ	καὶ
322	ἀπὸ	ἀπὸ
323	Δαυὶδ	Δαυὶδ
324	ἕως	ἕως
325	τῆς	τῆς
326	μετοικεσίας	μετοικεσίας
327	Βαβυλῶνος	Βαβυλῶνος
328	γενεαὶ	γενεαὶ
329	δεκατέσσαρες	δεκατέσσαρες,
330	καὶ	καὶ
331	ἀπὸ	ἀπὸ
332	τῆς	τῆς
333	μετοικεσίας	μετοικεσίας
334	Βαβυλῶνος	Βαβυλῶνος
335	ἕως	ἕως
336	τοῦ	τοῦ
337	Χριστοῦ	Χριστοῦ
338	γενεαὶ	γενεαὶ
339	δεκατέσσαρες	δεκατέσσαρες.
344	Τοῦ	Τοῦ
345	δὲ	δὲ
346	Ἰησοῦ	Ἰησοῦ
347	Χριστοῦ	Χριστοῦ
348	ἡ	ἡ
349	γένεσις	γένεσις
350	οὕτως	οὕτως
351	ἦν	ἦν.
352	μνηστευθείσης	μνηστευθείσης
353	τῆς	τῆς
354	μητρὸς	μητρὸς
355	αὐτοῦ	αὐτοῦ
356	Μαρίας	Μαρίας
357	τῷ	τῷ
358	Ἰωσήφ	Ἰωσήφ,
359	πρὶν	πρὶν
360	ἢ	ἢ
361	συνελθεῖν	συνελθεῖν
362	αὐτοὺς	αὐτοὺς
363	εὑρέθη	εὑρέθη
364	ἐν	ἐν
365	γαστρὶ	γαστρὶ
366	ἔχουσα	ἔχουσα
367	ἐκ	ἐκ
368	πνεύματος	πνεύματος
369	ἁγίου	ἁγίου.
374	Ἰωσὴφ	Ἰωσὴφ
375	δὲ	δὲ
376	ὁ	ὁ
377	ἀνὴρ	ἀνὴρ
