40	4	10	10	4	10	14	<reference osisRef="MAT.4.10!10-MAT.4.10!14" type="OT quotes" label="" verse="MAT 4:10" ><grk>κύριον τὸν θεόν σου προσκυνήσεις</grk></reference>「OT quotes｜Old Testament quotations.」
40	4	10	15	4	10	16	<reference osisRef="MAT.4.10!15-MAT.4.10!16" type="OT quotes" label="" verse="MAT 4:10" ><grk>καὶ αὐτῷ</grk></reference>「OT quotes｜Old Testament quotations.」
40	4	10	17	4	10	17	<reference osisRef="MAT.4.10!17" type="OT quotes" label="" verse="MAT 4:10" ><grk>μόνῳ</grk></reference>「OT quotes｜Old Testament quotations.」
40	4	10	18	4	10	18	<reference osisRef="MAT.4.10!18" type="OT quotes" label="" verse="MAT 4:10" ><grk>λατρεύσεις</grk></reference>「OT quotes｜Old Testament quotations.」
40	4	15	1	4	15	5	<reference osisRef="MAT.4.15!1-MAT.4.15!5" type="OT quotes" label="" verse="MAT 4:15" ><grk>γῆ ζαβουλὼν καὶ γῆ νεφθαλίμ</grk></reference>「OT quotes｜Old Testament quotations.」
40	4	15	6	4	15	10	<reference osisRef="MAT.4.15!6-MAT.4.15!10" type="OT quotes" label="" verse="MAT 4:15" ><grk>ὁδὸν θαλάσσης πέραν τοῦ ἰορδάνου</grk></reference>「OT quotes｜Old Testament quotations.」
40	4	15	11	4	15	13	<reference osisRef="MAT.4.15!11-MAT.4.15!13" type="OT quotes" label="" verse="MAT 4:15" ><grk>γαλιλαία τῶν ἐθνῶν</grk></reference>「OT quotes｜Old Testament quotations.」
40	4	16	1	4	16	6	<reference osisRef="MAT.4.16!1-MAT.4.16!6" type="OT quotes" label="" verse="MAT 4:16" ><grk>ὁ λαὸς ὁ καθήμενος ἐν σκότει</grk></reference>「OT quotes｜Old Testament quotations.」
40	4	16	7	4	16	9	<reference osisRef="MAT.4.16!7-MAT.4.16!9" type="OT quotes" label="" verse="MAT 4:16" ><grk>φῶς εἶδεν μέγα</grk></reference>「OT quotes｜Old Testament quotations.」
40	4	16	10	4	16	17	<reference osisRef="MAT.4.16!10-MAT.4.16!17" type="OT quotes" label="" verse="MAT 4:16" ><grk>καὶ τοῖς καθημένοις ἐν χώρᾳ καὶ σκιᾷ θανάτου</grk></reference>「OT quotes｜Old Testament quotations.」
