FEATURESsort1	OGNTsort	NA27id
000228	000228	40.1.15!12
000229	000229	40.1.15!13
000230	000230	40.1.15!14
000231	000231	40.1.15!15
000232	000232	40.1.16!1
000233	000233	40.1.16!2
000234	000234	40.1.16!3
000235	000235	40.1.16!4
000236	000236	40.1.16!5
000237	000237	40.1.16!6
000238	000238	40.1.16!7
000239	000239	40.1.16!8
000240	000240	40.1.16!9
000241	000241	40.1.16!10
000242	000242	40.1.16!11
000243	000243	40.1.16!12
000244	000244	40.1.16!13
000245	000245	40.1.16!14
000246	000246	40.1.16!15
000247	000247	40.1.17!1
000248	000248	40.1.17!2
000249	000249	40.1.17!3
000250	000250	40.1.17!4
000251	000251	40.1.17!5
000252	000252	40.1.17!6
000253	000253	40.1.17!7
000254	000254	40.1.17!8
000255	000255	40.1.17!9
000256	000256	40.1.17!10
000257	000257	40.1.17!11
000258	000258	40.1.17!12
000259	000259	40.1.17!13
000260	000260	40.1.17!14
000261	000261	40.1.17!15
000262	000262	40.1.17!16
000263	000263	40.1.17!17
000264	000264	40.1.17!18
000265	000265	40.1.17!19
000266	000266	40.1.17!20
000267	000267	40.1.17!21
000268	000268	40.1.17!22
000269	000269	40.1.17!23
000270	000270	40.1.17!24
000271	000271	40.1.17!25
000272	000272	40.1.17!26
000273	000273	40.1.17!27
000274	000274	40.1.17!28
000275	000275	40.1.17!29
000276	000276	40.1.18!1
000277	000277	40.1.18!2
000278	000278	40.1.18!3
000279	000279	40.1.18!4
000280	000280	40.1.18!5
000281	000281	40.1.18!6
000282	000282	40.1.18!7
000283	000283	40.1.18!8
000284	000284	40.1.18!9
000285	000285	40.1.18!10
000286	000286	40.1.18!11
000287	000287	40.1.18!12
000288	000288	40.1.18!13
000289	000289	40.1.18!14
000290	000290	40.1.18!15
000291	000291	40.1.18!16
000292	000292	40.1.18!17
000293	000293	40.1.18!18
000294	000294	40.1.18!19
000295	000295	40.1.18!20
000296	000296	40.1.18!21
000297	000297	40.1.18!22
000298	000298	40.1.18!23
000299	000299	40.1.18!24
000300	000300	40.1.18!25
000301	000301	40.1.18!26
000302	000302	40.1.19!1
000303	000303	40.1.19!2
000304	000304	40.1.19!3
000305	000305	40.1.19!4
000306	000306	40.1.19!5
000307	000307	40.1.19!6
