OGNTsort	BGBsort	Book	Chapter	Verse	【Heading】	Crossref
107119	133027	50	2	25	<pm>¶</pm>【Epaphroditus Commended】	
107220	133153	50	3	1	【Righteousness through Faith】	
107308	133265	50	3	7	<pm>¶</pm>【Knowing Christ Above All Else】	
107398	133377	50	3	12	【Pressing Toward the Goal】	
107470	133473	50	3	17	【Citizenship in Heaven】	
107560	133583	50	4	1	【Stand Firm in the Lord】	
107668	133719	50	4	8	【Think on These Things】	
107714	133773	50	4	10	【The Generosity of the Philippians】	
107883	133986	50	4	21	【Final Greetings】	
107917	134033	51	1	1	【Greetings from Paul and Timothy】	『2_samuel｜6｜12｜2 Samuel 6:12-15』『1_chronicles｜15｜1｜1 Chronicles 15:1-14』『philippians｜1｜1｜Philippians 1:1-2』
107945	134069	51	1	3	<pm>¶</pm>【Thanksgiving and Prayer】	『1_corinthians｜1｜4｜1 Corinthians 1:4-9』『philippians｜1｜3｜Philippians 1:3-11』『2_thessalonians｜1｜3｜2 Thessalonians 1:3-4』
108153	134325	51	1	15	<pm>¶</pm>【The Supremacy of Christ】	『hebrews｜1｜1｜Hebrews 1:1-14』
108332	134541	51	1	24	【Paul's Suffering for the Church】	『2_corinthians｜11｜16｜2 Corinthians 11:16-33』
108455	134688	51	2	1	【Absent in Body, Present in Spirit】	『revelation｜3｜14｜Revelation 3:14-22』
108545	134798	51	2	6	【Alive in Christ】	
108843	135170	51	3	1	【Putting on the New Self】	
109115	135510	51	3	18	【Christian Households】	
109213	135640	51	4	1	<pm>¶</pm>【Fellow Workers】	
109292	135743	51	4	7	【Final Greetings】	
109449	135937	51	4	16	<pm>¶</pm>【Sharing This Letter】	
109499	136000	52	1	1	【Greetings to the Thessalonians】	『2_thessalonians｜1｜1｜2 Thessalonians 1:1-2』『philemon｜1｜1｜Philemon 1:1-3』
109713	136262	52	2	1	【Paul's Ministry】	
110034	136647	52	2	17	【Paul's Longing to Visit】	『romans｜1｜8｜Romans 1:8-15』
110103	136732	52	3	1	【Timothy's Visit】	
110191	136840	52	3	6	【Timothy's Encouraging Report】	
110351	137032	52	4	1	【Living to Please God】	
110544	137273	52	4	13	【The Return of the Lord】	
110661	137414	52	5	1	<pm>¶</pm>【The Day of the Lord】	『zephaniah｜1｜7｜Zephaniah 1:7-18』『2_peter｜3｜8｜2 Peter 3:8-13』
110813	137610	52	5	12	【Christian Living】	
110912	137753	52	5	23	【Final Blessings】	
110980	137846	53	1	1	【Greetings to the Thessalonians】	『1_thessalonians｜1｜1｜1 Thessalonians 1:1-10』『philemon｜1｜1｜Philemon 1:1-3』
111061	137943	53	1	5	<pm>¶</pm>【Christ's Coming】	
111215	138129	53	2	1	【The Man of Lawlessness】	
111431	138393	53	2	13	【Stand Firm】	
111529	138512	53	3	1	【Request for Prayer】	
111605	138608	53	3	6	【Warning against Irresponsibility】	
111759	138802	53	3	16	<pm>¶</pm>【Paul's Final Greetings】	『1_corinthians｜16｜19｜1 Corinthians 16:19-24』
111803	138859	54	1	1	【Paul's Greeting to Timothy】	『2_timothy｜1｜1｜2 Timothy 1:1-2』
111835	138899	54	1	3	【Warning against False Teaching】	
111955	139055	54	1	12	【God's Grace to Paul】	
112109	139245	54	2	1	【A Call to Prayer】	
112213	139381	54	2	9	<pm>¶</pm>【Instructions to Women】	
112295	139491	54	3	1	<pm>¶</pm>【Qualifications for Overseers】	
112380	139604	54	3	8	【Qualifications for Deacons】	『acts｜6｜1｜Acts 6:1-7』
112446	139694	54	3	14	【The Mystery of Godliness】	
112502	139762	54	4	1	【Warnings against False Teachers】	
112564	139844	54	4	6	【A Good Minister of Jesus Christ】	『leviticus｜21｜1｜Leviticus 21:1-17』
112723	140047	54	5	1	【Guidelines for Reproof】	
112742	140074	54	5	3	【Support for Widows】	『ruth｜1｜1｜Ruth 1:1-5』
112926	140315	54	5	17	【Honoring Elders】	
112979	140385	54	5	21	<pm>¶</pm>【A Charge to Timothy】	
113051	140477	54	6	1	【Instructions to Servants】	『ephesians｜6｜5｜Ephesians 6:5-9』
113099	140533	54	6	3	<pm>¶</pm>【Reject False Doctrines】	
113149	140599	54	6	6	【Contentment in Godliness】	
113218	140688	54	6	11	【Fight the Good Fight】	
113325	140819	54	6	17	【A Charge to the Rich】	
113369	140875	54	6	20	【Final Guidance】	
113394	140909	55	1	1	【Paul's Greeting to Timothy】	『1_timothy｜1｜1｜1 Timothy 1:1-2』
113423	140946	55	1	3	【Encouragement to Be Faithful】	
113484	141019	55	1	6	【Patience in Persecution】	『matthew｜10｜16｜Matthew 10:16-25』
113623	141186	55	1	13	<pm>¶</pm>【Hold to Sound Teaching】	
113711	141298	55	2	1	【Grace and Perseverance】	『hebrews｜12｜1｜Hebrews 12:1-3』
113861	141500	55	2	14	【The Lord's Approved Workman】	
114069	141761	55	3	1	【Evil in the Last Days】	
114181	141909	55	3	10	【All Scripture is God-Breathed】	
114305	142065	55	4	1	【Preach the Word】	
114438	142230	55	4	9	【Personal Concerns】	
114523	142343	55	4	16	<pm>¶</pm>【The Lord Remains Faithful】	
114587	142419	55	4	19	【Final Greetings】	
114632	142481	56	1	1	【Paul's Greeting to Titus】	『2_corinthians｜8｜16｜2 Corinthians 8:16-24』
114697	142562	56	1	5	【Appointing Elders on Crete】	
114779	142664	56	1	10	<pm>¶</pm>【Correcting False Teachers】	
114883	142796	56	2	1	【Teaching Sound Doctrine】	
114996	142949	56	2	11	【God's Grace Brings Salvation】	
115072	143045	56	3	1	【Obedience to Authorities】	
115095	143076	56	3	3	<pm>¶</pm>【God's Mercy to Us】	
115197	143202	56	3	9	<pm>¶</pm>【Avoiding Divisions】	
115230	143247	56	3	12	【Final Remarks and Greetings】	
115291	143325	57	1	1	【Greetings from Paul and Timothy】	『1_thessalonians｜1｜1｜1 Thessalonians 1:1-10』『2_thessalonians｜1｜1｜2 Thessalonians 1:1-2』
115332	143378	57	1	4	【Philemon's Faith and Love】	
115398	143460	57	1	8	【Paul's Appeal for Onesimus】	
115600	143722	57	1	23	【Additional Greetings】	
115626	143761	58	1	1	【The Supremacy of the Son】	『colossians｜1｜15｜Colossians 1:15-23』
115882	144074	58	2	1	【Salvation Confirmed】	
115946	144155	58	2	5	【Jesus Like His Brothers】	
116195	144470	58	3	1	【Jesus Our Apostle and High Priest】	
116287	144589	58	3	7	【Do Not Harden Your Hearts】	
116361	144683	58	3	12	【The Peril of Unbelief】	
116478	144833	58	4	1	【The Sabbath Rest】	『genesis｜2｜1｜Genesis 2:1-3』『exodus｜16｜22｜Exodus 16:22-36』
116668	145068	58	4	12	<pm>¶</pm>【God's Word is Living and Active】	
116719	145127	58	4	14	【Jesus the Great High Priest】	
116769	145189	58	5	1	【The Perfect High Priest】	『psalms｜110｜1｜Psalm 110:1-7』
116924	145384	58	5	11	【Warning against Drifting Away】	
117001	145477	58	6	1	【A Call to Maturity】	
117186	145710	58	6	13	【God's Unchangeable Promise】	
117302	145858	58	7	1	【Melchizedek and Abraham】	『genesis｜14｜17｜Genesis 14:17-24』
117470	146066	58	7	11	【A Superior Priesthood】	
117758	146426	58	8	1	【Christ's Eternal Priesthood】	
117855	146543	58	8	6	<pm>¶</pm>【The New Covenant】	
118032	146752	58	9	1	【The Earthly Tabernacle】	『exodus｜25｜1｜Exodus 25:1-9』『exodus｜40｜1｜Exodus 40:1-33』
118212	146972	58	9	11	【Redemption through His Blood】	
118544	147377	58	10	1	<pm>¶</pm>【Christ's Perfect Sacrifice】	『psalms｜147｜1｜Psalm 147:1-20』『romans｜3｜1｜Romans 3:1-8』
118803	147708	58	10	19	【A Call to Persevere】	『jude｜1｜17｜Jude 1:17-23』
119094	148083	58	11	1	【Faith and Assurance】	
119124	148125	58	11	4	<pm>¶</pm>【The Faith of Abel, Enoch, Noah】	
119221	148238	58	11	8	【The Faith of Abraham and Sarah】	『genesis｜15｜1｜Genesis 15:1-7』『romans｜4｜1｜Romans 4:1-12』『galatians｜3｜1｜Galatians 3:1-9』『james｜2｜14｜James 2:14-26』
119422	148487	58	11	20	<pm>¶</pm>【The Faith of Isaac, Jacob, Joseph】	
119465	148542	58	11	23	【The Faith of Moses】	
119569	148674	58	11	30	<pm>¶</pm>【The Faith of Many】	
119727	148877	58	12	1	【The Call to Endurance】	『2_timothy｜2｜1｜2 Timothy 2:1-13』
119795	148957	58	12	4	【God Disciplines His Sons】	
119956	149158	58	12	14	<pm>¶</pm>【A Call to Holiness】	『1_peter｜1｜13｜1 Peter 1:13-21』
120025	149244	58	12	18	【An Unshakable Kingdom】	『exodus｜20｜18｜Exodus 20:18-21』『deuteronomy｜5｜22｜Deuteronomy 5:22-33』
120201	149468	58	13	1	【Brotherly Love】	
120244	149527	58	13	5	<pm>¶</pm>【Christ's Unchanging Nature】	
120396	149719	58	13	15	<pm>¶</pm>【Sacrifice, Obedience, and Prayer】	
120478	149821	58	13	20	【Benediction and Farewell】	
120579	149947	59	1	1	【Greetings from James】	『jude｜1｜1｜Jude 1:1-2』
120594	149966	59	1	2	【Rejoicing in Trials】	『philippians｜1｜12｜Philippians 1:12-20』
120752	150168	59	1	13	<pm>¶</pm>【Good and Perfect Gifts】	
120833	150273	59	1	19	【Hearing and Doing】	
120985	150461	59	2	1	【A Warning against Favoritism】	
121186	150714	59	2	14	【Faith and Works】	『genesis｜15｜1｜Genesis 15:1-7』『romans｜4｜1｜Romans 4:1-12』『galatians｜3｜1｜Galatians 3:1-9』『hebrews｜11｜8｜Hebrews 11:8-19』
121403	150982	59	3	1	【Taming the Tongue】	
121613	151240	59	3	13	【The Wisdom from Above】	
121698	151349	59	4	1	【Warning against Pride】	
121805	151480	59	4	7	【Drawing Near to God】	
121899	151597	59	4	13	【Do Not Boast of Tomorrow】	
121976	151694	59	5	1	【Warning to the Rich】	
122070	151812	59	5	7	【Patience in Suffering】	『job｜1｜1｜Job 1:1-5』
122191	151957	59	5	13	【The Prayer of Faith】	
122292	152082	59	5	19	【Restoring a Sinner】	
122324	152122	60	1	1	【Greetings from Peter】	『2_peter｜1｜1｜2 Peter 1:1-2』
122356	152162	60	1	3	【A Living Hope】	
122534	152380	60	1	13	【A Call to Holiness】	『hebrews｜12｜14｜Hebrews 12:14-17』
122664	152548	60	1	22	【The Word of the Lord Stands】	『isaiah｜40｜6｜Isaiah 40:6-8』
122731	152631	60	2	1	【The Lord is Good】	
122765	152677	60	2	4	<pm>¶</pm>【The Living Stone】	『isaiah｜28｜14｜Isaiah 28:14-22』『1_corinthians｜3｜10｜1 Corinthians 3:10-15』
122931	152880	60	2	13	【Submission to Authorities】	『romans｜13｜1｜Romans 13:1-7』
123042	153023	60	2	21	<pm>¶</pm>【Christ's Example of Suffering】	『isaiah｜53｜1｜Isaiah 53:1-8』『matthew｜26｜57｜Matthew 26:57-68』『mark｜14｜53｜Mark 14:53-65』『john｜18｜19｜John 18:19-24』
123123	153124	60	3	1	【Wives and Husbands】	『songs｜1｜1｜Song of Solomon 1:1-3』『ephesians｜5｜22｜Ephesians 5:22-33』
123245	153274	60	3	8	【Turning from Evil】	
123332	153385	60	3	14	<pm>¶</pm>【Suffering for Righteousness】	『romans｜6｜15｜Romans 6:15-23』
123493	153582	60	4	1	【Living for God's Glory】	
123664	153797	60	4	12	【Suffering as Christians】	
123798	153972	60	5	1	【Instructions to Elders】	
123856	154046	60	5	5	<pm>¶</pm>【Cast Your Cares on Him】	
123929	154140	60	5	10	<pm>¶</pm>【Benediction and Farewell】	
124003	154238	61	1	1	<pm>¶</pm>【Greetings from Peter】	『1_peter｜1｜1｜1 Peter 1:1-2』
124038	154281	61	1	3	【Partakers of the Divine Nature】	
124267	154563	61	1	16	【Eyewitnesses of His Majesty】	『matthew｜17｜1｜Matthew 17:1-13』『mark｜9｜1｜Mark 9:1-13』『luke｜9｜28｜Luke 9:28-36』
124387	154707	61	2	1	【Deliverance from False Prophets】	
124760	155170	61	3	1	【The Coming Judgment】	『genesis｜3｜1｜Genesis 3:1-7』『genesis｜7｜1｜Genesis 7:1-5』『romans｜5｜12｜Romans 5:12-21』
124884	155322	61	3	8	【The Day of the Lord】	『zephaniah｜1｜7｜Zephaniah 1:7-18』『1_thessalonians｜5｜1｜1 Thessalonians 5:1-11』
124998	155460	61	3	14	【Final Exhortations】	
125102	155585	62	1	1	【The Word of Life】	『luke｜24｜36｜Luke 24:36-43』『john｜20｜19｜John 20:19-23』
125188	155687	62	1	5	【Walking in the Light】	『john｜8｜12｜John 8:12-30』
125308	155832	62	2	1	【Jesus Our Advocate】	
125415	155963	62	2	7	【A New Commandment】	
125580	156160	62	2	15	【Do Not Love the World】	
125651	156243	62	2	18	【Beware of Antichrists】	
125771	156387	62	2	24	<pm>¶</pm>【Continue in Him】	
125895	156535	62	3	1	【Children of God】	
126097	156777	62	3	11	【Love One Another】	『john｜13｜31｜John 13:31-35』『romans｜12｜9｜Romans 12:9-13』
126364	157100	62	4	1	【Testing the Spirits】	
126503	157267	62	4	7	【Love Comes from God】	
126813	157638	62	5	1	【Overcoming the World】	
126969	157843	62	5	9	<pm>¶</pm>【God's Testimony about His Son】	
127067	157957	62	5	13	【Effective Prayer】	
127163	158083	62	5	18	【Concluding Remarks】	
127242	158179	63	1	1	【Greeting from the Elder】	『3_john｜1｜1｜3 John 1:1-4』
127301	158250	63	1	4	【Walking in the Truth】	『john｜8｜30｜John 8:30-41』
127360	158321	63	1	7	【Beware of Deceivers】	
127452	158433	63	1	12	【Final Greetings】	
127487	158477	64	1	1	【Greeting to Gaius from the Elder】	『2_john｜1｜1｜2 John 1:1-3』
127538	158545	64	1	5	【Gaius Commended for His Hospitality】	
127585	158608	64	1	9	【Diotrephes and Demetrius】	
127671	158710	64	1	13	【Conclusion】	
127705	158752	65	1	1	【Greetings from Jude】	『james｜1｜1｜James 1:1-1』
127729	158784	65	1	3	【God's Judgment on the Ungodly】	『genesis｜4｜1｜Genesis 4:1-7』『romans｜2｜1｜Romans 2:1-16』
128029	159142	65	1	17	【A Call to Persevere】	『hebrews｜10｜19｜Hebrews 10:19-39』
128121	159264	65	1	24	【Doxology】	『romans｜11｜33｜Romans 11:33-36』『romans｜16｜25｜Romans 16:25-27』
128163	159314	66	1	1	【Prologue】	『daniel｜12｜1｜Daniel 12:1-13』
128224	159387	66	1	4	【John Greets the Seven Churches】	
128356	159542	66	1	9	【John's Vision on Patmos】	
128632	159879	66	2	1	【To the Church in Ephesus】	『acts｜19｜8｜Acts 19:8-12』
128779	160054	66	2	8	<pm>¶</pm>【To the Church in Smyrna】	
128877	160168	66	2	12	【To the Church in Pergamum】	
129024	160339	66	2	18	【To the Church in Thyatira】	『acts｜16｜11｜Acts 16:11-15』
129254	160617	66	3	1	【To the Church in Sardis】	
129397	160784	66	3	7	【To the Church in Philadelphia】	
129591	161006	66	3	14	【To the Church in Laodicea】	『colossians｜2｜1｜Colossians 2:1-5』
129779	161231	66	4	1	【The Throne in Heaven】	
129871	161339	66	4	5	<pm>¶</pm>【Worship of the Creator】	
130072	161568	66	5	1	<pm>¶</pm>【The Scroll with Seven Seals】	
130141	161654	66	5	5	<pm>¶</pm>【The Lamb is Worthy】	
130298	161835	66	5	11	【The Lamb Exalted】	
130410	161970	66	6	1	【The First Seal: The White Horse】	
130456	162024	66	6	3	【The Second Seal: War】	
130496	162072	66	6	5	【The Third Seal: Famine】	
130552	162136	66	6	7	【The Fourth Seal: Death】	
130611	162203	66	6	9	【The Fifth Seal: The Martyrs】	
130692	162296	66	6	12	【The Sixth Seal: Terror】	
130827	162455	66	7	1	【144,000 Sealed】	
130988	162648	66	7	9	【Praise from the Great Multitude】	
131225	162921	66	8	1	【The Seventh Seal】	
131332	163048	66	8	6	【The First Four Trumpets】	
131544	163292	66	9	1	【The Fifth Trumpet】	
131802	163598	66	9	13	【The Sixth Trumpet】	
132041	163873	66	10	1	【The Angel and the Small Scroll】	
132333	164209	66	11	1	【The Two Witnesses】	
132475	164375	66	11	7	【The Witnesses Killed and Raised】	
132675	164607	66	11	15	【The Seventh Trumpet】	
132829	164784	66	12	1	【The Woman and the Dragon】	
132973	164952	66	12	7	<pm>¶</pm>【The War in Heaven】	
133139	165142	66	12	13	【The Woman Persecuted】	
133267	165290	66	13	1	【The Beast from the Sea】	
133501	165565	66	13	11	【The Beast from the Earth】	
133632	165716	66	13	16	<pm>¶</pm>【The Mark of the Beast】	
133714	165810	66	14	1	【The Lamb and the 144,000】	
133847	165968	66	14	6	【The Three Angels and Babylon's Fall】	
134077	166230	66	14	14	【The Harvest of the Earth】	
134263	166444	66	15	1	【The Song of Moses and the Lamb】	
134386	166583	66	15	5	【Preparation for Judgment】	
134480	166693	66	16	1	【The First Six Bowls of Wrath】	
134831	167108	66	16	17	【The Seventh Bowl of Wrath】	
134950	167247	66	17	1	【The Woman on the Beast】	
135074	167391	66	17	6	<pm>¶</pm>【The Mystery Explained】	
135271	167620	66	17	14	<pm>¶</pm>【The Victory of the Lamb】	
135392	167761	66	18	1	【Babylon is Fallen】	
135597	167998	66	18	9	【Lament over Babylon】	
135903	168352	66	18	21	【The Doom of Babylon】	
136018	168483	66	19	1	【Rejoicing in Heaven】	
136134	168619	66	19	6	【The Marriage of the Lamb】	
136257	168762	66	19	11	【The Rider on the White Horse】	
136387	168916	66	19	17	【Defeat of the Beast and False Prophet】	
136544	169093	66	20	1	【Satan Bound】	
136720	169293	66	20	7	【Satan Cast into the Lake of Fire】	
136821	169410	66	20	11	【The Final Judgment】	
136951	169560	66	21	1	【A New Heaven and a New Earth】	
137155	169796	66	21	9	【The New Jerusalem】	
137562	170283	66	22	1	【The River of Life】	
137676	170417	66	22	6	【Jesus is Coming】	
137931	170720	66	22	18	【Nothing May Be Added】	
