OGNTsort	BGBsort	Book	Chapter	Verse	【Heading】	Crossref
068071	84472	44	6	1	【The Choosing of the Seven】	『1_timothy｜3｜8｜1 Timothy 3:8-13』
068209	84638	44	6	8	【The Arrest of Stephen】	
068350	84811	44	7	1	<pm>¶</pm>【Stephen's Address to the Sanhedrin】	
069360	86034	44	7	54	【The Stoning of Stephen】	
069472	86174	44	8	1	【Saul Persecutes the Church】	
069535	86249	44	8	4	【Philip in Samaria】	
069599	86333	44	8	9	【Simon the Sorcerer】	『deuteronomy｜18｜9｜Deuteronomy 18:9-14』
069888	86690	44	8	26	【Philip and the Ethiopian】	
070167	87052	44	9	1	【The Road to Damascus】	『acts｜22｜1｜Acts 22:1-21』『acts｜26｜1｜Acts 26:1-23』
070311	87247	44	9	10	【Ananias Baptizes Saul】	
070498	87471	44	9	19	【Saul Preaches at Damascus】	
070571	87560	44	9	23	【The Escape from Damascus】	『1_samuel｜19｜11｜1 Samuel 19:11-24』
070614	87615	44	9	26	【Saul in Jerusalem】	
070731	87756	44	9	32	【The Healing of Aeneas】	
070793	87834	44	9	36	【The Raising of Dorcas】	
070954	88027	44	10	1	【Cornelius Sends for Peter】	
071086	88198	44	10	9	<pm>¶</pm>【Peter's Vision】	『leviticus｜11｜1｜Leviticus 11:1-47』『deuteronomy｜14｜1｜Deuteronomy 14:1-21』
071199	88343	44	10	17	<pm>¶</pm>【Peter Called to Caesarea】	
071341	88520	44	10	24	<pm>¶</pm>【Peter Visits Cornelius】	
071521	88740	44	10	34	【Good News for Gentiles】	
071708	88967	44	10	44	【The Gentiles Receive the Holy Spirit】	『joel｜2｜28｜Joel 2:28-32』『john｜14｜15｜John 14:15-26』『john｜16｜5｜John 16:5-16』『acts｜2｜1｜Acts 2:1-13』『acts｜19｜1｜Acts 19:1-7』
071793	89073	44	11	1	【Peter's Report at Jerusalem】	
072104	89456	44	11	19	【The Church at Antioch】	
072321	89722	44	12	1	【James Killed, Peter Imprisoned】	
072382	89799	44	12	5	<pm>¶</pm>【The Rescue of Peter】	
072717	90194	44	12	20	【The Death of Herod】	
072814	90315	44	13	1	【Paul's First Missionary Journey】	『acts｜15｜36｜Acts 15:36-41』『acts｜18｜23｜Acts 18:23-28』
072880	90393	44	13	4	【On Cyprus】	
073044	90593	44	13	13	【In Pisidian Antioch】	
073547	91212	44	13	42	【The Gentiles Ask to Hear the Gospel】	
073747	91456	44	14	1	【Paul and Barnabas at Iconium】	
073863	91600	44	14	8	<pm>¶</pm>【The Visit to Lystra and Derbe】	
074104	91893	44	14	21	<pm>¶</pm>【The Return to Syrian Antioch】	
074177	91986	44	14	26	<pm>¶</pm>【The Report to the Church at Antioch】	
074221	92042	44	15	1	【The Dispute over Circumcision】	『genesis｜17｜9｜Genesis 17:9-27』『leviticus｜12｜1｜Leviticus 12:1-8』『joshua｜5｜1｜Joshua 5:1-9』
074323	92160	44	15	5	<pm>¶</pm>【The Council at Jerusalem】	
074607	92519	44	15	22	【The Letter to the Gentile Believers】	
074754	92704	44	15	30	【The Believers at Antioch Rejoice】	
074821	92801	44	15	36	【Paul's Second Missionary Journey】	『acts｜13｜1｜Acts 13:1-3』『acts｜18｜23｜Acts 18:23-28』
074915	92919	44	16	1	<pm>¶</pm>【Timothy Joins Paul and Silas】	
075009	93033	44	16	6	【Paul's Vision of the Macedonian】	
075092	93136	44	16	11	【Lydia’s Conversion in Philippi】	『revelation｜2｜18｜Revelation 2:18-29』
075195	93259	44	16	16	【Paul and Silas Imprisoned】	
075366	93466	44	16	25	<pm>¶</pm>【The Conversion of the Jailer】	
075530	93670	44	16	35	<pm>¶</pm>【An Official Apology】	
075635	93799	44	17	1	【Paul Preaches at Thessalonica】	
075716	93896	44	17	5	<pm>¶</pm>【The Uproar in Thessalonica】	
075802	94002	44	17	10	【The Character of the Bereans】	
075938	94163	44	17	16	【Paul in Athens】	
076065	94314	44	17	22	【Paul Before the Areopagus】	
076310	94611	44	18	1	【Paul's Ministry in Corinth】	
076520	94865	44	18	12	【Paul Before Gallio】	
076621	94990	44	18	18	【Paul Returns to Antioch】	
076701	95100	44	18	23	【Paul's Third Missionary Journey】	『acts｜13｜1｜Acts 13:1-3』『acts｜15｜36｜Acts 15:36-41』
076820	95243	44	19	1	【The Holy Spirit Received at Ephesus】	『joel｜2｜28｜Joel 2:28-32』『john｜14｜15｜John 14:15-26』『john｜16｜5｜John 16:5-16』『acts｜2｜1｜Acts 2:1-13』『acts｜10｜44｜Acts 10:44-48』
