BGBsort	Book	Chapter	Verse	Heading	Crossref
20234	40	26	36	Jesus Prays at Gethsemane	『mark｜14｜32｜Mark 14:32-42』『luke｜22｜39｜Luke 22:39-46』
20473	40	26	47	The Betrayal of Jesus	『mark｜14｜43｜Mark 14:43-52』『luke｜22｜47｜Luke 22:47-53』『john｜18｜1｜John 18:1-14』
20702	40	26	57	Jesus Faces the Sanhedrin	『isaiah｜53｜1｜Isaiah 53:1-8』『mark｜14｜53｜Mark 14:53-65』『john｜18｜19｜John 18:19-24』『1_peter｜2｜21｜1 Peter 2:21-25』
20946	40	26	69	Peter Denies Jesus	『mark｜14｜66｜Mark 14:66-72』『luke｜22｜54｜Luke 22:54-62』『john｜18｜15｜John 18:15-18』
21090	40	27	1	Jesus Delivered to Pilate	『mark｜15｜1｜Mark 15:1-5』
21126	40	27	3	Judas Hangs Himself	『zechariah｜11｜10｜Zechariah 11:10-17』『matthew｜26｜14｜Matthew 26:14-16』『mark｜14｜10｜Mark 14:10-11』
21276	40	27	11	Jesus Before Pilate	『luke｜23｜1｜Luke 23:1-6』『john｜18｜28｜John 18:28-40』
21352	40	27	15	The Crowd Chooses Barabbas	『mark｜15｜6｜Mark 15:6-11』『luke｜23｜13｜Luke 23:13-25』
21524	40	27	24	Pilate Washes his Hands	『mark｜15｜12｜Mark 15:12-15』
21592	40	27	27	The Soldiers Mock Jesus	『isaiah｜50｜4｜Isaiah 50:4-11』『mark｜15｜16｜Mark 15:16-20』『luke｜22｜63｜Luke 22:63-65』『john｜19｜1｜John 19:1-15』
21696	40	27	32	The Crucifixion	『psalms｜22｜1｜Psalm 22:1-36』『psalms｜69｜1｜Psalm 69:1-36』『mark｜15｜21｜Mark 15:21-32』『luke｜23｜26｜Luke 23:26-43』『john｜19｜16｜John 19:16-27』
21936	40	27	45	The Death of Jesus	『psalms｜22｜1｜Psalm 22:1-31』『mark｜15｜33｜Mark 15:33-41』『luke｜23｜44｜Luke 23:44-49』『john｜19｜28｜John 19:28-30』
22194	40	27	57	The Burial of Jesus	『isaiah｜53｜9｜Isaiah 53:9-12』『mark｜15｜42｜Mark 15:42-47』『luke｜23｜50｜Luke 23:50-56』『john｜19｜38｜John 19:38-42』
22291	40	27	62	The Guards at the Tomb	
22396	40	28	1	The Resurrection	『psalms｜16｜1｜Psalm 16:1-11』『psalms｜49｜1｜Psalm 49:1-20』『mark｜16｜1｜Mark 16:1-8』『luke｜24｜1｜Luke 24:1-12』『john｜20｜1｜John 20:1-9』
22616	40	28	11	The Report of the Guards	
22711	40	28	16	The Great Commission	『mark｜16｜14｜Mark 16:14-18』
22812	41	1	1	The Mission of John the Baptist	『isaiah｜40｜1｜Isaiah 40:1-5』『matthew｜3｜1｜Matthew 3:1-12』『luke｜3｜1｜Luke 3:1-20』『john｜1｜19｜John 1:19-28』
22974	41	1	9	The Baptism of Jesus	『matthew｜3｜13｜Matthew 3:13-17』『luke｜3｜21｜Luke 3:21-22』『john｜1｜29｜John 1:29-34』
23039	41	1	12	The Temptation of Jesus	『matthew｜4｜1｜Matthew 4:1-11』『luke｜4｜1｜Luke 4:1-13』
23078	41	1	14	Jesus Preaches in Galilee	『isaiah｜9｜1｜Isaiah 9:1-7』『matthew｜4｜12｜Matthew 4:12-17』『luke｜4｜14｜Luke 4:14-15』
23120	41	1	16	The First Disciples	『matthew｜4｜18｜Matthew 4:18-22』『matthew｜13｜47｜Matthew 13:47-52』『luke｜5｜1｜Luke 5:1-11』『john｜1｜35｜John 1:35-42』
23222	41	1	21	Jesus Expels an Unclean Spirit	『luke｜4｜31｜Luke 4:31-37』
23378	41	1	29	Jesus Heals at Peter's House	『matthew｜8｜14｜Matthew 8:14-17』『luke｜4｜38｜Luke 4:38-41』
23494	41	1	35	Jesus Prays and Preaches	『luke｜4｜42｜Luke 4:42-44』
23577	41	1	40	The Leper's Prayer	『leviticus｜14｜1｜Leviticus 14:1-32』『matthew｜8｜1｜Matthew 8:1-4』『luke｜5｜12｜Luke 5:12-16』
23700	41	2	1	Jesus Heals a Paralytic	『matthew｜9｜1｜Matthew 9:1-8』『luke｜5｜17｜Luke 5:17-26』
23944	41	2	13	The Calling of Levi	『matthew｜9｜9｜Matthew 9:9-13』『luke｜5｜27｜Luke 5:27-32』
24073	41	2	18	Questions about Fasting	『matthew｜9｜14｜Matthew 9:14-15』『luke｜5｜33｜Luke 5:33-35』
24161	41	2	21	The Patches and the Wineskins	『matthew｜9｜16｜Matthew 9:16-17』『luke｜5｜36｜Luke 5:36-39』
24222	41	2	23	The Lord of the Sabbath	『1_samuel｜21｜1｜1 Samuel 21:1-9』『matthew｜12｜1｜Matthew 12:1-8』『luke｜6｜1｜Luke 6:1-5』
24354	41	3	1	Jesus Heals on the Sabbath	『matthew｜12｜9｜Matthew 12:9-14』『luke｜6｜6｜Luke 6:6-11』
24473	41	3	7	Multitudes Follow Jesus	
24600	41	3	13	The Twelve Apostles	『matthew｜10｜1｜Matthew 10:1-4』『luke｜6｜12｜Luke 6:12-16』
24722	41	3	20	A House Divided	『matthew｜12｜22｜Matthew 12:22-30』『luke｜11｜14｜Luke 11:14-23』
24880	41	3	28	The Unpardonable Sin	『matthew｜12｜31｜Matthew 12:31-32』
24935	41	3	31	Jesus' Mother and Brothers	『matthew｜12｜46｜Matthew 12:46-50』『luke｜8｜19｜Luke 8:19-21』
25040	41	4	1	The Parable of the Sower	『matthew｜13｜1｜Matthew 13:1-9』『luke｜8｜4｜Luke 8:4-15』
25228	41	4	10	The Purpose of Jesus' Parables	『matthew｜13｜10｜Matthew 13:10-17』
25293	41	4	13	The Parable of the Sower Explained	『matthew｜13｜18｜Matthew 13:18-23』
25471	41	4	21	The Lesson of the Lamp	『luke｜8｜16｜Luke 8:16-18』
25567	41	4	26	The Seed Growing Secretly	
25643	41	4	30	The Parable of the Mustard Seed	『matthew｜13｜31｜Matthew 13:31-32』『luke｜13｜18｜Luke 13:18-19』
25745	41	4	35	Jesus Calms the Storm	『matthew｜8｜23｜Matthew 8:23-27』『luke｜8｜22｜Luke 8:22-25』
25891	41	5	1	The Demons and the Pigs	『matthew｜8｜28｜Matthew 8:28-34』『luke｜8｜26｜Luke 8:26-39』
26296	41	5	21	The Healing Touch of Jesus	『matthew｜9｜18｜Matthew 9:18-26』『luke｜8｜40｜Luke 8:40-56』
26762	41	6	1	The Rejection at Nazareth	『isaiah｜61｜1｜Isaiah 61:1-11』『matthew｜2｜19｜Matthew 2:19-23』『matthew｜13｜53｜Matthew 13:53-58』『luke｜2｜39｜Luke 2:39-40』『luke｜4｜16｜Luke 4:16-30』
26918	41	6	7	The Ministry of the Twelve	『matthew｜10｜5｜Matthew 10:5-15』『luke｜9｜1｜Luke 9:1-6』
27061	41	6	14	The Beheading of John	『matthew｜14｜1｜Matthew 14:1-12』『luke｜9｜7｜Luke 9:7-9』
27428	41	6	30	The Feeding of the Five Thousand	『matthew｜14｜13｜Matthew 14:13-21』『luke｜9｜10｜Luke 9:10-17』『john｜6｜1｜John 6:1-15』
27725	41	6	45	Jesus Walks on Water	『matthew｜14｜22｜Matthew 14:22-33』『john｜6｜16｜John 6:16-25』
27896	41	6	53	Jesus Heals at Gennesaret	『matthew｜14｜34｜Matthew 14:34-36』
27984	41	7	1	Tradition and Worship	『matthew｜15｜1｜Matthew 15:1-9』
28268	41	7	14	What Defiles a Man	『matthew｜15｜10｜Matthew 15:10-20』
28453	41	7	24	The Faith of the Gentile Woman	『matthew｜15｜21｜Matthew 15:21-28』
28613	41	7	31	The Deaf and Mute Man	『isaiah｜35｜1｜Isaiah 35:1-10』『matthew｜9｜32｜Matthew 9:32-34』
28756	41	8	1	The Feeding of the Four Thousand	『matthew｜15｜29｜Matthew 15:29-39』
28942	41	8	11	The Demand for a Sign	『matthew｜16｜1｜Matthew 16:1-4』『luke｜12｜54｜Luke 12:54-56』
29001	41	8	14	The Leaven to Beware	『matthew｜16｜5｜Matthew 16:5-12』
29140	41	8	22	The Blind Man at Bethsaida	
29246	41	8	27	Peter's Confession of Christ	『matthew｜16｜13｜Matthew 16:13-20』『luke｜9｜18｜Luke 9:18-20』『john｜6｜66｜John 6:66-71』
29337	41	8	31	Christ's Passion Foretold	『matthew｜16｜21｜Matthew 16:21-23』『luke｜9｜21｜Luke 9:21-22』
29418	41	8	34	Take up Your Cross	『matthew｜10｜37｜Matthew 10:37-39』『matthew｜16｜24｜Matthew 16:24-28』『luke｜9｜23｜Luke 9:23-27』
29546	41	9	1	The Transfiguration	『matthew｜17｜1｜Matthew 17:1-13』『luke｜9｜28｜Luke 9:28-36』『2_peter｜1｜16｜2 Peter 1:16-21』
29834	41	9	14	The Boy with an Evil Spirit	『matthew｜17｜14｜Matthew 17:14-21』『luke｜9｜37｜Luke 9:37-42』
30168	41	9	30	The Second Prediction of the Passion	『matthew｜17｜22｜Matthew 17:22-23』『luke｜9｜43｜Luke 9:43-45』
30227	41	9	33	The Greatest in the Kingdom	『matthew｜18｜1｜Matthew 18:1-6』『luke｜9｜46｜Luke 9:46-50』
30332	41	9	38	Miracles in Jesus' Name	
30425	41	9	42	Temptations and Trespasses	『matthew｜18｜7｜Matthew 18:7-9』『luke｜17｜1｜Luke 17:1-4』
30642	41	10	1	Teachings about Divorce	『matthew｜19｜1｜Matthew 19:1-12』
30843	41	10	13	Jesus Blesses the Children	『matthew｜19｜13｜Matthew 19:13-15』『luke｜18｜15｜Luke 18:15-17』
30923	41	10	17	The Rich Young Man	『matthew｜19｜16｜Matthew 19:16-30』『luke｜18｜18｜Luke 18:18-30』
31268	41	10	32	The Third Prediction of the Passion	『matthew｜20｜17｜Matthew 20:17-19』『luke｜18｜31｜Luke 18:31-34』
31353	41	10	35	The Request of James and John	『matthew｜20｜20｜Matthew 20:20-28』
31588	41	10	46	Jesus Heals Bartimaeus	『matthew｜20｜29｜Matthew 20:29-34』『luke｜18｜35｜Luke 18:35-43』
31739	41	11	1	The Triumphal Entry	『zechariah｜9｜9｜Zechariah 9:9-13』『matthew｜21｜1｜Matthew 21:1-11』『luke｜19｜28｜Luke 19:28-40』『john｜12｜12｜John 12:12-19』
31969	41	11	12	Jesus Curses the Fig Tree	『matthew｜21｜18｜Matthew 21:18-22』『mark｜11｜20｜Mark 11:20-26』
32036	41	11	15	Jesus Cleanses the Temple	『matthew｜21｜12｜Matthew 21:12-17』『luke｜19｜45｜Luke 19:45-48』『john｜2｜12｜John 2:12-25』
32153	41	11	20	The Withered Fig Tree	『matthew｜21｜18｜Matthew 21:18-22』『mark｜11｜12｜Mark 11:12-14』
32299	41	11	27	Jesus' Authority Challenged	『matthew｜21｜23｜Matthew 21:23-27』『luke｜20｜1｜Luke 20:1-8』
32454	41	12	1	The Parable of the Wicked Tenants	『matthew｜21｜33｜Matthew 21:33-46』『luke｜20｜9｜Luke 20:9-18』
32684	41	12	13	Paying Taxes to Caesar	『matthew｜22｜15｜Matthew 22:15-22』『luke｜20｜19｜Luke 20:19-26』
32810	41	12	18	The Sadducees and the Resurrection	『matthew｜22｜23｜Matthew 22:23-33』『luke｜20｜27｜Luke 20:27-40』
33021	41	12	28	The Greatest Commandment	『deuteronomy｜6｜1｜Deuteronomy 6:1-19』『matthew｜22｜34｜Matthew 22:34-40』
33202	41	12	35	Whose Son is the Christ?	『matthew｜22｜41｜Matthew 22:41-46』『luke｜20｜41｜Luke 20:41-44』
33277	41	12	38	Warning against the Scribes	『luke｜20｜45｜Luke 20:45-47』
33333	41	12	41	The Widow's Offering	『luke｜21｜1｜Luke 21:1-4』
33424	41	13	1	Temple Destruction Foretold	『matthew｜24｜1｜Matthew 24:1-4』『luke｜21｜5｜Luke 21:5-9』
33589	41	13	9	Witnessing to All Nations	『matthew｜24｜9｜Matthew 24:9-14』『luke｜21｜10｜Luke 21:10-19』
33706	41	13	14	The Abomination of Desolation	『matthew｜24｜15｜Matthew 24:15-25』『luke｜21｜20｜Luke 21:20-24』
33905	41	13	24	The Return of the Son of Man	『matthew｜24｜26｜Matthew 24:26-31』『luke｜21｜25｜Luke 21:25-28』
33992	41	13	28	The Lesson of the Fig Tree	『matthew｜24｜32｜Matthew 24:32-35』『luke｜21｜29｜Luke 21:29-33』
34073	41	13	32	Readiness at Any Hour	『genesis｜6｜1｜Genesis 6:1-7』『matthew｜24｜36｜Matthew 24:36-51』『luke｜12｜35｜Luke 12:35-48』
34184	41	14	1	The Plot to Kill Jesus	『matthew｜26｜1｜Matthew 26:1-5』『luke｜22｜1｜Luke 22:1-6』『john｜11｜45｜John 11:45-57』
