Book	Chapter	Verse	【Heading】
40	9	27	【Jesus Heals the Blind and Mute】 (<a href='bible://isaiah.35.1'>Isaiah 35:1-10</a>; <a href='bible://mark.7.31'>Mark 7:31-37</a>)
40	9	35	【The Lord of the Harvest】
40	10	1	【The Twelve Apostles】 (<a href='bible://mark.3.13'>Mark 3:13-19</a>; <a href='bible://luke.6.12'>Luke 6:12-16</a>)
40	10	5	【The Ministry of the Twelve】 (<a href='bible://mark.6.7'>Mark 6:7-13</a>; <a href='bible://luke.9.1'>Luke 9:1-6</a>)
40	10	16	【Sheep among Wolves】 (<a href='bible://2_timothy.1.6'>2 Timothy 1:6-12</a>)
40	10	26	【Fear God Alone】 (<a href='bible://luke.12.4'>Luke 12:4-7</a>)
40	10	32	【Confessing Christ】 (<a href='bible://luke.12.8'>Luke 12:8-12</a>)
40	10	34	【The Sword of the Gospel】 (<a href='bible://luke.12.49'>Luke 12:49-53</a>)
40	10	37	【Take up Your Cross】 (<a href='bible://matthew.16.24'>Matthew 16:24-28</a>; <a href='bible://mark.8.34'>Mark 8:34-38</a>; <a href='bible://luke.9.23'>Luke 9:23-27</a>)
40	10	40	【The Reward of Service】 (<a href='bible://2_kings.4.8'>2 Kings 4:8-17</a>)
40	11	1	【John's Inquiry】 (<a href='bible://luke.7.18'>Luke 7:18-23</a>)
40	11	7	【Jesus Testifies about John】 (<a href='bible://luke.1.5'>Luke 1:5-25</a>; <a href='bible://luke.7.24'>Luke 7:24-35</a>; <a href='bible://luke.16.14'>Luke 16:14-17</a>)
40	11	20	【Woe to the Unrepentant】 (<a href='bible://luke.10.13'>Luke 10:13-16</a>)
40	11	25	【Rest for the Weary】 (<a href='bible://luke.10.21'>Luke 10:21-24</a>)
40	12	1	【The Lord of the Sabbath】 (<a href='bible://1_samuel.21.1'>1 Samuel 21:1-9</a>; <a href='bible://mark.2.23'>Mark 2:23-28</a>; <a href='bible://luke.6.1'>Luke 6:1-5</a>)
40	12	9	【Jesus Heals on the Sabbath】 (<a href='bible://mark.3.1'>Mark 3:1-6</a>; <a href='bible://luke.6.6'>Luke 6:6-11</a>)
40	12	15	<pm>¶</pm>【God's Chosen Servant】 (<a href='bible://isaiah.42.1'>Isaiah 42:1-9</a>)
40	12	22	【A House Divided】 (<a href='bible://mark.3.20'>Mark 3:20-27</a>; <a href='bible://luke.11.14'>Luke 11:14-23</a>)
40	12	31	<pm>¶</pm>【The Unpardonable Sin】 (<a href='bible://mark.3.28'>Mark 3:28-30</a>)
40	12	33	【Good and Bad Fruit】 (<a href='bible://matthew.7.15'>Matthew 7:15-23</a>; <a href='bible://luke.6.43'>Luke 6:43-45</a>)
40	12	38	【The Sign of Jonah】 (<a href='bible://luke.11.29'>Luke 11:29-32</a>)
40	12	43	【An Unclean Spirit Returns】 (<a href='bible://luke.11.24'>Luke 11:24-26</a>)
40	12	46	【Jesus' Mother and Brothers】 (<a href='bible://mark.3.31'>Mark 3:31-35</a>; <a href='bible://luke.8.19'>Luke 8:19-21</a>)
40	13	1	【The Parable of the Sower】 (<a href='bible://mark.4.1'>Mark 4:1-9</a>; <a href='bible://luke.8.4'>Luke 8:4-15</a>)
40	13	10	【The Purpose of Jesus' Parables】 (<a href='bible://mark.4.10'>Mark 4:10-12</a>)
40	13	18	【The Parable of the Sower Explained】 (<a href='bible://mark.4.13'>Mark 4:13-20</a>)
40	13	24	【The Parable of the Weeds】 (<a href='bible://ezekiel.17.1'>Ezekiel 17:1-10</a>)
40	13	31	【The Parable of the Mustard Seed】 (<a href='bible://mark.4.30'>Mark 4:30-34</a>; <a href='bible://luke.13.18'>Luke 13:18-19</a>)
40	13	33	【The Parable of the Leaven】 (<a href='bible://judges.20.18'>Judges 20:18-23</a>; <a href='bible://2_samuel.2.12'>2 Samuel 2:12-32</a>; <a href='bible://2_chronicles.13.4'>2 Chronicles 13:4-19</a>; <a href='bible://luke.13.20'>Luke 13:20-21</a>)
40	13	34	<pm>¶</pm>【I will Open My Mouth in Parables】 (<a href='bible://psalms.78.1'>Psalm 78:1-72</a>)
40	13	36	【The Parable of the Weeds Explained】 (<a href='bible://zephaniah.1.1'>Zephaniah 1:1-6</a>)
40	13	44	【The Parables of the Treasure and Pearl】 (<a href='bible://matthew.6.19'>Matthew 6:19-21</a>)
40	13	47	【The Parable of the Net】 (<a href='bible://matthew.4.18'>Matthew 4:18-22</a>; <a href='bible://mark.1.16'>Mark 1:16-20</a>; <a href='bible://luke.5.1'>Luke 5:1-11</a>; <a href='bible://john.1.35'>John 1:35-42</a>)
40	13	53	【The Rejection at Nazareth】 (<a href='bible://isaiah.61.1'>Isaiah 61:1-11</a>; <a href='bible://matthew.2.19'>Matthew 2:19-23</a>; <a href='bible://mark.6.1'>Mark 6:1-6</a>; <a href='bible://luke.2.39'>Luke 2:39-40</a>; <a href='bible://luke.4.16'>Luke 4:16-30</a>)
40	14	1	【The Beheading of John】 (<a href='bible://mark.6.14'>Mark 6:14-29</a>; <a href='bible://luke.9.7'>Luke 9:7-9</a>)
40	14	13	【The Feeding of the Five Thousand】 (<a href='bible://mark.6.30'>Mark 6:30-44</a>; <a href='bible://luke.9.10'>Luke 9:10-17</a>; <a href='bible://john.6.1'>John 6:1-15</a>)
40	14	22	【Jesus Walks on Water】 (<a href='bible://mark.6.45'>Mark 6:45-52</a>; <a href='bible://john.6.16'>John 6:16-25</a>)
40	14	34	【Jesus Heals at Gennesaret】 (<a href='bible://mark.6.53'>Mark 6:53-56</a>)
40	15	1	【Tradition and Worship】 (<a href='bible://mark.7.1'>Mark 7:1-13</a>)
40	15	10	【What Defiles a Man】 (<a href='bible://mark.7.14'>Mark 7:14-23</a>)
40	15	21	【The Faith of the Canaanite Woman】 (<a href='bible://mark.7.24'>Mark 7:24-30</a>)
40	15	29	【The Feeding of the Four Thousand】 (<a href='bible://mark.8.1'>Mark 8:1-10</a>)
40	16	1	【The Demand for a Sign】 (<a href='bible://mark.8.11'>Mark 8:11-13</a>; <a href='bible://luke.12.54'>Luke 12:54-56</a>)
40	16	5	【The Leaven to Beware】 (<a href='bible://mark.8.14'>Mark 8:14-21</a>)
40	16	13	【Peter's Confession of Christ】 (<a href='bible://mark.8.27'>Mark 8:27-30</a>; <a href='bible://luke.9.18'>Luke 9:18-20</a>; <a href='bible://john.6.66'>John 6:66-71</a>)
40	16	21	【Christ's Passion Foretold】 (<a href='bible://mark.8.31'>Mark 8:31-33</a>; <a href='bible://luke.9.21'>Luke 9:21-22</a>)
